System,Model,CPU_T_mean,CPU_T_min,CPU_T_max,RootRelax_Val_mean,RootRelax_Val_min,RootRelax_Val_max,RootRelax_T_mean,RootRelax_T_min,RootRelax_T_max,Bench_Obj,Improve_RootRelax_Val_mean,Improve_RootRelax_Val_min,Improve_RootRelax_Val_max
1,MEG,12.68885,8.066,20.423,32447725.5,20515320.0,36222000.0,6.151,3.62,9.31,28233626.0,14.925817534028397,-27.33728214718152,28.293829492534893
1,MEG-NoLink,32.84725,25.442,52.636,32447251.5,20515320.0,36221960.0,5.4415,4.44,6.73,28233626.0,14.924138684843385,-27.33728214718152,28.293687817498185
1,TUC-SSC1,12.12485,7.01,23.709,32455764.0,20524490.0,36227720.0,5.116,3.76,7.74,28233626.0,14.954288903593183,-27.304803145015804,28.314089022784394
1,TUC-SSC2,10.304599999999999,6.33,16.225,32455764.0,20524490.0,36227720.0,4.572,3.25,6.27,28233626.0,14.954288903593183,-27.304803145015804,28.314089022784394
1,TUC-SSC2-NoLink,21.4084,16.206,32.382,32455764.0,20524490.0,36227720.0,4.442,3.35,5.91,28233626.0,14.954288903593183,-27.304803145015804,28.314089022784394
1,UC-SSC,70.75264999999999,56.621,84.801,28233626.0,16418750.0,32040520.0,8.376000000000001,7.11,9.46,28233626.0,0.0,0.0,0.0
2,MEG,95.23870000000001,31.651,319.012,23995052.0,11673860.0,30178400.0,14.4295,10.38,18.78,21716211.35,10.493730297941672,-46.243569783640005,38.967149995065775
2,MEG-NoLink,181.06835,62.088,470.581,23720239.0,11673900.0,30192530.0,16.583000000000002,11.47,21.17,21716211.35,9.228256336711322,-46.24338558944814,39.03221659334237
2,TUC-SSC1,70.23305,20.613,123.866,24529047.0,11687380.0,30271020.0,12.044,9.2,14.4,21716211.35,12.952699735076017,-46.18131214678937,39.393651646331016
2,TUC-SSC2,62.0389,15.706,163.25,24531040.0,11687380.0,30271040.0,12.250499999999999,9.97,14.56,21716211.35,12.961877210685731,-46.18131214678937,39.39374374342695
2,TUC-SSC2-NoLink,132.18545,42.838,317.506,23837086.0,11687380.0,30271070.0,16.346,10.68,21.18,21716211.35,9.766319805134877,-46.18131214678937,39.39388188907085
2,UC-SSC,366.7994,189.042,910.583,21716211.35,9079514.0,27666820.0,12.2835,11.25,14.26,21716211.35,0.0,0.0,0.0
3,MEG,27.773000000000003,18.513,78.96,39789754.5,36637350.0,44767050.0,5.257,4.38,6.87,33496746.5,18.786923082216358,9.375846397500128,33.64596469092901
3,MEG-NoLink,40.84445,29.741,117.368,39789380.5,36636840.0,44766820.0,4.682,4.15,5.72,33496746.5,18.785806555869538,9.374323861572647,33.645278057079366
3,TUC-SSC1,21.66285,10.198,35.166,39845617.0,36691830.0,44805680.0,5.058,4.4,5.67,33496746.5,18.95369301015548,9.538489058929947,33.761289324024354
3,TUC-SSC2,20.628899999999998,10.02,32.285,39845615.5,36691830.0,44805680.0,4.9845,4.3,5.5,33496746.5,18.953688532108632,9.538489058929947,33.761289324024354
3,TUC-SSC2-NoLink,33.737700000000004,27.509,44.778,39845615.5,36691830.0,44805680.0,4.5835,4.12,5.23,33496746.5,18.953688532108632,9.538489058929947,33.761289324024354
3,UC-SSC,829.0317000000001,601.15,1097.881,33496746.5,30237380.0,38877110.0,15.014500000000002,12.62,20.22,33496746.5,0.0,0.0,0.0
4,MEG,113.32845,41.191,255.637,41586475.0,38411500.0,46579390.0,17.5285,15.39,20.54,32890350.0,26.439746004527166,16.786534652261224,41.62023207414941
4,MEG-NoLink,174.7247,115.997,274.986,41584149.0,38410900.0,46578270.0,21.588,17.59,25.76,32890350.0,26.432674021407493,16.784710408980143,41.61682682002471
4,TUC-SSC1,97.28135,40.554,195.249,41610031.0,38432210.0,46604700.0,20.017500000000002,17.44,22.41,32890350.0,26.51136579574252,16.84950144951331,41.69718473655647
4,TUC-SSC2,82.0534,41.62,142.427,41610193.0,38432370.0,46604870.0,18.482499999999998,15.85,22.08,32890350.0,26.51185834142841,16.84998791438826,41.69770160548611
4,TUC-SSC2-NoLink,159.026,88.027,212.699,41610175.5,38432330.0,46604850.0,24.187,21.09,29.11,32890350.0,26.511805134332718,16.849866298169523,41.69764079737674
